종류,시설명,정원,소재지,전화번호,시설장,데이터기준일자
노인요양시설,정자메디케어요양원,21,"경기도 성남시 분당구 정자일로 158, 6층 601-604호 (정자동)",031-719-9930,김현종,2021-01-01
노인요양시설,파드마노인전문요양원,98,경기도 성남시 중원구 제일로73번길 6 (성남동),031-752-3885,사채정,2021-01-01
노인요양시설,파크뷰실버홈,20,경기도 성남시 분당구 이매동 146-2번지 중일빌딩 2층,031-702-5407,구동륜,2021-01-01
노인요양시설,헤리티지요양원,84,경기도 성남시 분당구 대왕판교로 155 (금곡동),031-8022-0160,박진우,2021-01-01
노인요양시설,효사랑요양원,78,경기도 성남시 중원구 둔촌대로 220 (하대원동),031-751-6100,조명숙,2021-01-01
노인요양공동생활가정,메디케어 2호,9,"경기도 성남시 분당구 미금로 48 (구미동, 오성프라자 406호)",031-719-9949,정소영,2021-01-01
노인요양공동생활가정,벧엘요양센터,9,"경기도 성남시 중원구 광명로 331, 3층 (금광동)",031-722-1020,최은희,2021-01-01
노인요양공동생활가정,분당 참사랑 실버홈(1호점),9,"경기도 성남시 분당구 야탑로 24 (야탑동,덕인빌딩201호)",031-781-7781,정은수,2021-01-01
노인요양공동생활가정,분당 참사랑 실버홈(2호점),9,"경기도 성남시 분당구 야탑로 24 (야탑동,덕인빌딩 201)",031-781-7781,신지영,2021-01-01
노인요양공동생활가정,분당 참사랑 실버홈(3호점),9,경기도 성남시 분당구 야탑로 24 (야탑동),031-781-7781,김수형,2021-01-01
노인요양공동생활가정,사랑돌봄실버케어스1호,9,경기도 성남시 중원구 광명로 96 (성남동),031-721-5515,백양순,2021-01-01
노인요양공동생활가정,사랑돌봄실버케어스2호,9,"경기도 성남시 중원구 광명로 96, 5층 (성남동)",031-721-5515,김한나,2021-01-01
노인요양공동생활가정,선진요양원 1호,9,"경기도 성남시 중원구 광명로 119 (성남동,4층)",031-759-4005,김지원,2021-01-01
노인요양공동생활가정,성남어르신요양센터1호점,9,"경기도 성남시 수정구 수정로 144, 4층 (수진동)",031-722-6033,오윤경,2021-01-01
노인요양공동생활가정,성남어르신요양센터2호점,9,"경기도 성남시 수정구 수정로 144, 4층 (수진동)",031-722-6033,장효은,2021-01-01
노인요양공동생활가정,송은 요양원 2호 (분당점),9,"경기도 성남시 분당구 판교로610번길 11, 2층 (야탑동)",031-707-6581,김선영,2021-01-01
노인요양공동생활가정,송은요양원 도촌점,9,"경기도 성남시 중원구 도촌로8번길 11, 6층 (도촌동, 씨엔프라자)",031-756-9544,김은미,2021-01-01
노인요양공동생활가정,수진실버빌2호,9,"경기도 성남시 수정구 산성대로 207, 6층 601호 (신흥동, 에드모스)",031-898-1234,박창규,2021-01-01
노인요양공동생활가정,한마음실버빌 2호,9,경기도 성남시 중원구 광명로 336 (금광동),031-742-7877,유준철,2021-01-01
